TU_Name	TU_Direction	Overlapping_TU	Overlapping_Direction
rimP-nusA-infB	-	metY	-
moaBCDE	+	moaABCDE	+
yfiR-dgcN-yfiB	+	rpsP-rimM-trmD-rplS	-
yfiR-dgcN-yfiB	+	yfiRN	+
pdhR-aceEF-lpdA	+	aceEF	+
pdhR-aceEF-lpdA	+	lpdA	+
nrdG	-	nrdDG	-
leuL	-	leuLABCD	-
rhtC1	+	recQ	+
mnmG-rsmG	-	asnC-mioC-mnmG	-
fucR	+	fucPIKUR	+
alsRBACE	-	alsK1	-
alsRBACE	-	alsBACE	-
ilvEDA	+	ilvLXG_1G_2MEDA	+
ilvEDA	+	ilvA	+
ilvEDA	+	ilvY	-
hisLGDCBHAFI	+	hisL	+
cmk-rpsA	+	rpsA-ihfB	+
ydhYVW	-	ydhYVWXUT	-
yhbY	+	rlmE-ftsH	-
tig1	+	tig	+
tig2	+	tig	+
tig3	+	tig	+
rnc-era-recO-pdxJ-acpS	-	rnc-era	-
rnc-era-recO-pdxJ-acpS	-	pdxJ-acpS	-
tdcBCDEFG	-	tdcABCDEFG	-
ftsQAZ	+	stfZ	-
ftsQAZ	+	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
ftsQAZ	+	ftsZ	+
ftsQAZ	+	mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
ftsQAZ	+	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
relBE-hokD	-	relBE	-
relBE-hokD	-	hokD	-
sraB	+	yceF1	-
sraB	+	yceF2	-
sraB	+	yceF3	-
sraB	+	yceF4	-
hypABCDE-fhlA	+	hypBCDE-fhlA	+
hypABCDE-fhlA	+	hypBCDE	+
hypABCDE-fhlA	+	hypABCDE	+
purR	+	ydhB1	-
glgAP	-	glgCAP	-
glgAP	-	glgBXCAP	-
yhhX1	-	ryhB	-
topA	+	yciN1	-
topA	+	yciN4	-
yqeC1	-	mocA1	+
yqeC2	-	mocA1	+
yjfIJ	+	nsrR-rnr-rlmB-yjfI	+
yceH1	+	rimJ	+
yceH2	+	rimJ	+
deoBD	+	deoCABD	+
deoBD	+	yjjJ2	+
deoBD	+	deoABD	+
dnaB	+	alr	+
dnaB	+	qorA	-
yhgF1	+	greB1	+
yhgF1	+	greB2	+
citT2	-	citCDEFXG	-
